,重量,貨名,單價,單位,倉位,date,Origin,brand,name,grade,category
103,抄,美 ibp 肥牛肉 karubi choice,$ 3 7.5,磅,其士,11-sep-23.pdf,美,ibp,肥牛肉 karubi choice,,Beef
104,抄,美 excel 肥牛肉 short plate,$ 2 1.0,磅,其士,11-sep-23.pdf,美,excel,肥牛肉 short plate,,Beef
105,抄,美 i. b. p. 橫隔肌 cab,$ 5 0.0,磅,其士,11-sep-23.pdf,美,ibp,橫隔肌,,Beef
106,抄,美 i. b. p. 橫隔肌 choice,$ 4 8.0,磅,其士,11-sep-23.pdf,美,ibp,橫隔肌,,Beef
107,抄,美 i. b. p. 橫隔肌 nr,$ 3 9.0,磅,其士,11-sep-23.pdf,美,ibp,橫隔肌,,Beef
108,抄,荷 tboer 牛仔膝(穀飼),$ 4 1.0,磅,其士,11-sep-23.pdf,荷,tboer,牛仔膝(穀飼),穀飼,Beef
109,抄,荷 tboer 白牛仔柳,$ 100.0,磅,其士,11-sep-23.pdf,荷,tboer,白牛仔柳,,Beef
110,抄,美 smithfield 豬肋排 st. louis style 零售裝,$ 2 5.0,磅,其士,11-sep-23.pdf,美,smithfield,豬肋排,零售,Pork
111,抄,巴 alegra 豬四肉,$ 9 .0,磅,其士,11-sep-23.pdf,巴,alegra,豬四肉,,Pork
112,25kg,巴 aurora 豬四肉,$ 8 .8,磅,其士,11-sep-23.pdf,巴,aurora,豬四肉,,Pork
113,抄,巴 palmali 豬四肉,$ 8 .8,磅,其士,11-sep-23.pdf,巴,palmali,豬四肉,,Pork
114,抄,西 artigas duroc 豬下梅肉,$ 3 5.0,磅,其士,11-sep-23.pdf,西,artigas duroc,豬下梅肉,,Pork
115,抄,西 artigas duroc 豬扒法式,$ 4 2.0,磅,其士,11-sep-23.pdf,西,artigas duroc,豬扒,,Pork
116,抄,西 pernam ibericos 豬背骨,$ 6 5.0,kg,其士,11-sep-23.pdf,西,pernam ibericos,豬背骨,,Pork
117,抄,西 jamondul ibericos 豬梅肉,$ 198.0,kg,其士,11-sep-23.pdf,西,jamondul ibericos,豬梅肉,,Pork
118,抄,西 jamondul ibericos 豬下梅肉,$ 140.0,kg,其士,11-sep-23.pdf,西,jamondul ibericos,豬下梅肉,,Pork
119,抄,西 jamondul ibericos 豬扒法式,$ 190.0,kg,其士,11-sep-23.pdf,西,jamondul ibericos,豬扒,,Pork
120,抄,西 jamondul ibericos 豬肋條,$ 135.0,kg,其士,11-sep-23.pdf,西,jamondul ibericos,豬肋條,,Pork
121,20kg*,巴 frimesa 豬手,$ 5 .4,磅,其士,11-sep-23.pdf,巴,frimesa,豬手,,Pork
122,20kg,波 豬後筒骨 pl30251102,$ 2 .2,磅,其士,11-sep-23.pdf,波,,後筒骨,,Pork
123,20kg,波 豬前筒骨 pl30251102,$ 2 .2,磅,其士,11-sep-23.pdf,波,,豬前筒骨,,Pork
124,10kg,挪 威 豬軟骨 p-no 109,$ 1 0.5,磅,其士,11-sep-23.pdf,挪 威,p109,豬軟骨,,Pork
125,抄,巴 dom glutao 牛頸骨,$ 5 .2,磅,其士,3-april-23.pdf,巴,dom glutao,頸骨,,Pork
126,抄,巴 dom glutao 牛前筒骨,$ 5 .2,磅,其士,3-april-23.pdf,巴,dom glutao,牛前筒骨,,Beef
127,抄,英 國 牛坑腩 uk-9012,$ 8 .0,磅,其士,3-april-23.pdf,英 國,hewitt,牛坑腩,,Beef
128,抄,巴 mataboi 牛坑腩 80vl,$ 1 4.5,磅,其士,3-april-23.pdf,巴,boi brasil,牛坑腩,,Beef
129,抄,加 excel 牛下肩肉眼卷(1x1) prime p-93,$ 3 9.0,磅,其士,3-april-23.pdf,加,excel,牛下肩肉眼卷,1x1,Beef
130,抄,美 i. b. p 牛下肩肉眼卷(1x1) cab,$ 3 9.0,磅,其士,3-april-23.pdf,美,ibp,牛下肩肉眼卷,1x1,Beef
131,抄,美 excel 牛下肩肉眼卷(1x1) cab,$ 3 8.5,磅,其士,3-april-23.pdf,美,excel,牛下肩肉眼卷,1x1,Beef
132,抄,美 excel 肩 胛 翼 prime,$ 7 8.0,磅,其士,3-april-23.pdf,美,excel,肩 胛 翼 prime,,
133,抄,美 excel 肩 胛 翼 cab,$ 5 8.0,磅,其士,3-april-23.pdf,美,excel,肩 胛 翼 cab,,
134,15kg*,阿 bustos 牛頭肉,$ 8 .0,磅,其士,3-april-23.pdf,阿,bustos,牛頭肉,,Beef
135,10kg,阿 ifssa 牛頭肉,$ 8 .0,磅,其士,3-april-23.pdf,阿,ifssa,牛頭肉,,Beef
136,10kg*,阿 ifssa 牛面肉,$ 1 1.0,磅,其士,3-april-23.pdf,阿,ifssa,牛面肉,,Beef
137,12kg,阿 ifssa 牛面肉,$ 1 1.0,磅,其士,3-april-23.pdf,阿,ifssa,牛面肉,,Beef
138,抄,巴 minerva 牛細腩包 p-2911/451/791,$ 2 1.0,磅,其士,3-april-23.pdf,巴,minerva,牛細腩包,,Beef
139,抄**,巴 plena 牛細腩包,$ 1 9.0,磅,其士,3-april-23.pdf,巴,plena,牛細腩包,,Beef
140,抄,巴 masterboi 牛細腩包,$ 1 9.0,磅,其士,3-april-23.pdf,巴,boi brasil,牛細腩包,,Beef
141,抄,澳 midfield 牛冧,$ 2 8.0,磅,其士,3-april-23.pdf,澳,midfield,牛冧,,Beef
142,抄,紐 affco 牛冧,$ 2 8.0,磅,其士,3-april-23.pdf,紐,affco,牛冧,,Beef
143,抄,巴 gejota 鯉魚管,$ 2 1.5,磅,其士,3-april-23.pdf,巴,gejota,鯉魚管,,Beef
144,抄,阿 conallison 牛肋腩條,$ 1 7.5,磅,其士,3-april-23.pdf,阿,conallison,牛肋腩條,,Beef
145,抄,美 i. b. p. 牛板腱 prime,$ 5 4.0,磅,其士,3-april-23.pdf,美,ibp,牛板腱,,Beef
146,抄,加 excel 牛板腱 prime p-93,$ 4 8.5,磅,其士,3-april-23.pdf,加,excel,牛板腱,,Beef
147,抄,美 i. b. p. 牛板腱 cab,$ 5 0.0,磅,其士,3-april-23.pdf,美,ibp,牛板腱,,Beef
148,抄,加 excel 牛板腱 aaa p-93,$ 3 9.0,磅,其士,3-april-23.pdf,加,excel,牛板腱,,Beef
149,抄**,美 i. b. p. 牛t骨 (0x1) cab,$ 7 6.0,磅,其士,3-april-23.pdf,美,ibp,牛t骨 (0x1) cab,,Beef
150,抄,阿 conallison (s) 牛t骨,$ 3 3.0,磅,其士,3-april-23.pdf,阿,conallison,(s) 牛t骨,,Beef
151,抄,德 牛仔骨 3 支骨 3/4/5,$ 1 5.5,磅,其士,3-april-23.pdf,德,,牛仔骨,3/4,Beef
152,抄,英 牛仔骨 3 支骨 6/7/8 5106/8046/1598/1541/1958,$ 1 8.0,磅,其士,3-april-23.pdf,英,,牛仔骨,,Beef
153,抄,英 kepak 牛仔骨 3 支骨 6/7/8 7176/8073/1106,$ 2 1.5,磅,其士,3-april-23.pdf,英,kepak,牛仔骨,,Beef
154,抄,加 excel 牛仔骨 4 支骨 aaa p-93,$ 2 8.0,磅,其士,3-april-23.pdf,加,excel,牛仔骨,,Beef
155,抄,加 excel 牛仔骨 3 支骨 prime p-93,$ 6 2.0,磅,其士,3-april-23.pdf,加,excel,牛仔骨,,Beef
156,抄,美 national 牛仔骨 3 支骨 prime,$ 6 2.0,磅,其士,3-april-23.pdf,美,national beef,牛仔骨,,Beef
