,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
119,A5特 和牛牛柳,和牛牛柳,萬祥,WAGYU,,日本,,2024-01-22,A5,A5特,,,,,720.0,kg,裕林,
120,A5特 和牛牛冧,和牛牛冧,萬祥,WAGYU,,日本,,2024-01-22,A5,A5特,,,,,,kg,裕林,
121,A5特 和牛針扒,和牛針扒,萬祥,WAGYU,,日本,,2024-01-22,A5,A5特,,,,,360.0,kg,裕林,
122,A5特 和牛燴扒,和牛燴扒,萬祥,WAGYU,,日本,,2024-01-22,A5,A5特,,,,,360.0,kg,裕林,
123,A5特 和牛尾扒,和牛尾扒,萬祥,WAGYU,,日本,,2024-01-22,A5,A5特,,,,,,kg,裕林,
124,和牛三筋(板鍵),和牛三筋,萬祥,WAGYU,,日本,,2024-01-22,,,,,,,,kg,裕林,
125,和牛肉眼蓋,和牛肉眼,萬祥,WAGYU,,日本,,2024-01-22,,,,,,,,kg,裕林,
126,和牛牛柳,和牛牛柳,萬祥,WAGYU,,日本,,2024-01-22,,,,,,,700.0,kg,裕林,
127,和牛牛腩排,和牛牛腩,萬祥,WAGYU,,日本,,2024-01-22,,,,,,,,kg,裕林,
128,和牛牛胸,和牛牛胸,萬祥,WAGYU,,日本,,2024-01-22,,,,,,,340.0,kg,裕林,
129,和牛牛仔骨,和牛牛仔骨,萬祥,WAGYU,,日本,,2024-01-22,,,,,,,340.0,kg,裕林,
130,和牛三角肥牛,和牛三角,萬祥,WAGYU,,日本,,2024-01-22,,,,,,,,kg,裕林,
131,和牛上腦,和牛上腦,萬祥,WAGYU,,日本,,2024-01-22,,,,,,,340.0,kg,裕林,
132,和牛牛冧,和牛牛冧,萬祥,WAGYU,,日本,,2024-01-22,,,,,,,,kg,裕林,
133,和牛針扒 (無針扒),和牛針扒,萬祥,WAGYU,,日本,,2024-01-22,,,,,,,340.0,kg,裕林,
134,和牛燴扒,和牛燴扒,萬祥,WAGYU,,日本,,2024-01-22,,,,,,,340.0,kg,裕林,
135,和牛尾扒,和牛尾扒,萬祥,WAGYU,,日本,,2024-01-22,,,,,,,340.0,kg,裕林,
137,抄碼 86M廠 EXCEL CAB 牛小排,去骨牛小排,萬祥,BEEF,抄,美國,EXCEL,2023-08-22,86M廠,CAB,,,,,118.0,lb,裕林,
138,抄碼 86M廠 EXCEL CHOICE 牛小排,去骨牛小排,萬祥,BEEF,抄,美國,EXCEL,2023-08-22,86M廠,CHOICE,,,,,105.0,lb,裕林,
139,抄碼 245L 廠 IBP CHOICE 牛小排,去骨牛小排,萬祥,BEEF,抄,美國,IBP,2023-08-22,245L廠,CHOICE,,,,,103.0,lb,光1,
140,抄碼 86K廠 EXCEL CHOICE 三支牛仔骨,牛仔骨,萬祥,BEEF,抄,美國,EXCEL,2023-08-22,86K廠,CHOICE,,,,,40.0,lb,裕林,
141,抄碼 86E廠 EXCEL CAB 三支牛仔骨,牛仔骨,萬祥,BEEF,抄,美國,EXCEL,2023-08-22,CAB,,,,,,43.5,lb,裕林,
142,抄碼 86E廠 EXCEL 肥牛,,萬祥,,抄,美國,EXCEL,2023-08-22,,,,,,,21.0,lb,裕林,
144,抄碼 PLENA 3/4牛柳(去邊),牛柳,萬祥,BEEF,抄,巴西,PLENA,2023-08-22,3/4,,,,,,36.0,lb,裕林,
145,抄碼 PLENA 4/5牛柳(去邊),牛柳,萬祥,BEEF,抄,巴西,PLENA,2023-08-22,4/5,,,,,,37.0,lb,裕林,
146,抄碼 ANGLO 牛冧,牛冧,萬祥,BEEF,抄,巴西,ANGLO,2023-08-22,,,,,,,17.2,lb,裕林,
147,抄碼 PLENA 牛冧 5KG+,牛冧,萬祥,BEEF,抄,巴西,PLENA,2023-08-22,,,,,,,17.5,lb,光1,
147,抄碼 PLENA 牛冧 5KG+,牛冧,萬祥,BEEF,抄,巴西,PLENA,2023-08-22,,,,,,,17.5,lb,裕林,
148,抄碼 GJ 牛冧,牛冧,萬祥,BEEF,抄,巴西,GJ,2023-08-22,,,,,,,17.8,lb,裕林,
149,抄碼 GJ 牛腩,牛腩,萬祥,BEEF,抄,巴西,GJ,2023-08-22,,,,,,,13.3,lb,裕林,
150,抄碼 NEW BRAND牛舌900G+,牛舌,萬祥,BEEF,抄,巴西,NEW BRAND,2023-08-22,+900G,,,,,,9.3,lb,裕林,
151,"抄碼 PLENA 牛舌900G+(直利, 大條)",牛舌,萬祥,BEEF,抄,巴西,PLENA,2023-08-22,+900G,直,,,,,9.8,lb,裕林,
152,抄碼 RAMAX 西冷3.5KG+,西冷,萬祥,BEEF,抄,巴西,RAMAX,2023-08-22,3.5K+,,,,,,19.8,lb,裕林,
153,抄碼 RAMAX 牛柳頭1.5KG+ (直身),牛柳頭,萬祥,BEEF,抄,巴西,RAMAX,2023-08-22,1.5K+,直,,,,,19.8,lb,裕林,
155,抄碼 PALMALI 四肉,豬四肉,萬祥,PORK,抄,巴西,PALMALI,2023-08-22,,,,,,,8.5,lb,裕林,
156,抄碼 NOTABLE 四肉,豬四肉,萬祥,PORK,抄,巴西,NOTABLE,2023-08-22,,,,,,,8.5,lb,裕林,
157,15KG SEARA 熟豬肚,豬肚,萬祥,PORK,15kg,巴西,SEARA,2023-08-22,,,,,,,8.5,lb,裕林,
