id,productName,supplier,category,packing,origin,brand,EffectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
173,豬肋條,金山,Pork,抄,西,artigas duroc,3-april-23.pdf,,,,,,,$ 3 8.0,磅,其士,
174,豬腩無皮挑骨,金山,Pork,抄,西,artigas duroc,3-april-23.pdf,挑骨,,,,,,$ 2 9.0,磅,其士,
175,豬腩 (去皮),金山,Pork,抄,西,pernam ibericos,3-april-23.pdf,,,,,,,$ 7 0.0,kg,其士,
176,豬背骨,金山,Pork,抄,西,pernam ibericos,3-april-23.pdf,,,,,,,$ 6 5.0,kg,其士,
177,豬梅肉,金山,Pork,抄,西,jamondul ibericos,3-april-23.pdf,,,,,,,$ 198.0,kg,其士,
178,豬下梅肉,金山,Pork,抄,西,jamondul ibericos,3-april-23.pdf,,,,,,,$ 130.0,kg,其士,
179,豬肋條,金山,Pork,抄,西,jamondul ibericos,3-april-23.pdf,,,,,,,$ 125.0,kg,其士,
180,豬大腸,金山,Pork,20kg,巴,alegra,3-april-23.pdf,,,,,,,$ 6 .5,磅,其士,
181,豬大腸,金山,Pork,10kg,巴,aurora,3-april-23.pdf,,,,,,,$ 8 .3,磅,其士,
182,豬大腸,金山,Pork,18kg,巴,seara,3-april-23.pdf,,,,,,,$ 7 .0,磅,其士,
183,豬大腸,金山,Pork,16kg,巴,frimesa,3-april-23.pdf,,,,,,,$ 8 .8,磅,其士,
184,挪 威 豬 手 (短),金山,Pork,10kg,挪 威,,3-april-23.pdf,短,,,,,,$ 1 .4,磅,其士,
185,牛坑腩,金山,Beef,抄,英 國,hewitt,29-jan-24 updated.pdf,,,,,,,$ 8 .0,磅,其士,
186,牛下肩肉眼卷,金山,Beef,抄,美,ibp,29-jan-24 updated.pdf,1x1,,,,,,$ 4 3.0,磅,其士,
187,牛下肩肉眼卷,金山,Beef,抄,美,ibp,29-jan-24 updated.pdf,1x1,,,,,,$ 4 0.0,磅,其士,
188,牛下肩肉眼卷,金山,Beef,抄,加,excel,29-jan-24 updated.pdf,1x1,,,,,,$ 3 9.0,磅,其士,
189,牛面肉,金山,Beef,12kg,阿,ifssa,29-jan-24 updated.pdf,,,,,,,$ 1 1.5,磅,其士,
190,牛細腩包,金山,Beef,抄,巴,pul,29-jan-24 updated.pdf,,,,,,,$ 1 5.0,磅,其士,
191,牛細腩包,金山,Beef,抄,巴,plena,29-jan-24 updated.pdf,,,,,,,$ 1 3.5,磅,其士,
192,牛冧,金山,Beef,抄,巴,dom glutao,29-jan-24 updated.pdf,,,,,,,$ 1 8.8,磅,其士,
193,牛冧,金山,Beef,抄,巴,gejota,29-jan-24 updated.pdf,,,,,,,$ 1 9.4,磅,其士,
194,牛冧,金山,Beef,抄,巴,gold beef ,29-jan-24 updated.pdf,,,,,,,$ 1 8.8,磅,其士,
195,牛冧,金山,Beef,抄,澳,midfield,29-jan-24 updated.pdf,,,,,,,$ 2 4.0,磅,其士,
196,鯉魚管,金山,Beef,抄,巴,mondelli,29-jan-24 updated.pdf,,,,,,,$ 2 0.5,磅,其士,
197,鯉魚管,金山,Beef,抄**,巴,boi brasil,29-jan-24 updated.pdf,,,,,,,$ 2 0.5,磅,其士,
198,鯉魚管,金山,Beef,抄,巴,pul,29-jan-24 updated.pdf,,,,,,,$ 2 0.5,磅,其士,
199,鯉魚管,金山,Beef,抄,巴,gejota,29-jan-24 updated.pdf,,,,,,,$ 1 8.5,磅,其士,
200,牛肋條,金山,Beef,抄,巴,gold beef ,29-jan-24 updated.pdf,,,,,,,$ 2 4.5,磅,其士,
201,牛肋條,金山,Beef,抄,巴,gejota,29-jan-24 updated.pdf,,,,,,,$ 2 6.0,磅,其士,
202,牛肋條,金山,Beef,抄,巴,minerva,29-jan-24 updated.pdf,,,,,,,$ 2 6.0,磅,其士,
203,牛肋條,金山,Beef,抄,墨,sukarne,29-jan-24 updated.pdf,,,,,,,$ 2 1.5,磅,其士,
204,牛肩肋條,金山,Beef,抄,美,ibp,29-jan-24 updated.pdf,,,,,,,$ 4 0.0,磅,其士,
205,金 錢 𦟌,金山,,抄,美,national beef,29-jan-24 updated.pdf,,,,,,,$ 3 5.5,磅,其士,
206,金錢𦟌,金山,Beef,抄**,巴,boi brasil,29-jan-24 updated.pdf,,,,,,,$ 2 1.0,磅,其士,
207,牛柳頭,金山,Beef,抄,巴,gejota,29-jan-24 updated.pdf,,,,,,,$ 2 3.0,磅,其士,
208,牛柳頭,金山,Beef,抄,巴,minerva,29-jan-24 updated.pdf,,,,,,,$ 2 3.0,磅,其士,
209,牛柳頭,金山,Beef,抄,巴,boi brasil,29-jan-24 updated.pdf,,,,,,,$ 2 2.0,磅,其士,
210,牛柳頭,金山,Beef,抄,巴,boi brasil,29-jan-24 updated.pdf,,,,,,,$ 2 3.0,磅,其士,
211,牛柳頭,金山,Beef,抄,巴,quality beef,29-jan-24 updated.pdf,,,,,,,$ 2 3.0,磅,其士,
212,肥牛肉 pastrami prime 6x12,金山,Beef,抄**,美,excel,29-jan-24 updated.pdf,,,,,,,$ 4 6.0,磅,其士,
213,肥牛肉 pastrami cab 6x12,金山,Beef,抄,美,ibp,29-jan-24 updated.pdf,,,,,,,$ 4 9.0,磅,其士,
214,肥牛肉 pastrami choice 6x12,金山,Beef,抄,美,national beef,29-jan-24 updated.pdf,,,,,,,$ 4 9.0,磅,其士,
215,肥牛肉 pastrami choice 6x12,金山,Beef,抄,美,ibp,29-jan-24 updated.pdf,,,,,,,$ 4 6.0,磅,其士,
216,肥牛肉 pastrami prime 9x12 p-86m/r,金山,Beef,抄,美,excel,29-jan-24 updated.pdf,9x12,,,,,,$ 3 4.0,磅,其士,
217,肥牛肉 pastrami angus choice 9x12 86m,金山,Beef,抄**,美,excel,29-jan-24 updated.pdf,9x12,,,,,,$ 3 3.5,磅,其士,
218,肥牛肉 pastrami choice 9x12 86m,金山,Beef,抄**,美,excel,29-jan-24 updated.pdf,9x12,,,,,,$ 3 3.0,磅,其士,
219,肥牛肉 pastrami aaa 9x12 p-93,金山,Beef,抄,加,excel,29-jan-24 updated.pdf,9x12,,,,,,$ 3 3.0,磅,其士,
220,肥牛肉 pastrami a/aa 9x12 p-93,金山,Beef,抄,加,excel,29-jan-24 updated.pdf,9x12,,,,,,$ 3 2.5,磅,其士,
221,肥牛肉(super plate),金山,Beef,抄,愛,dawn meat,29-jan-24 updated.pdf,,,,,,,$ 2 0.2,磅,其士,
222,肥牛肉 super obento plate,金山,Beef,抄,墨,sukarne,29-jan-24 updated.pdf,,,,,,,$ 2 0.5,磅,其士,
